"Параметр","Значение"
"Имя файла","samara_weather_201402-201602.csv"
"Количество строк","759"
"Количество столбцов","9"
"Начальная дата","2014-02-1"
"Конечная дата","2016-02-9"
"Дата","Тип: object, Уникальных значений: 759, Примеры: 2015-12-15, 2014-08-18, 2015-11-29, 2016-02-17, 2015-08-17"
"Температура (день)","Тип: float64, Уникальных значений: 58, Примеры: 31.0, -2.0, -6.0, 18.0, -9.0"
"Давление (день)","Тип: float64, Уникальных значений: 45, Примеры: 745.0, 749.0, 745.0, 751.0, 754.0"
"Облачность (день)","Тип: object, Уникальных значений: 6, Примеры: Переменная облачность, Малооблачно, Ясно, Пасмурно, Пасмурно"
"Ветер (день)","Тип: object, Уникальных значений: 37, Примеры: З 2м/с, З 3м/с, СВ 2м/с, Ш, З 3м/с"
"Температура (вечер)","Тип: float64, Уникальных значений: 58, Примеры: 15.0, 8.0, 21.0, 1.0, 12.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 45, Примеры: 749.0, 750.0, 754.0, 749.0, 771.0"
"Облачность (вечер)","Тип: object, Уникальных значений: 6, Примеры: Малооблачно, Переменная облачность, Переменная облачность, Ясно, Малооблачно"
"Ветер (вечер)","Тип: object, Уникальных значений: 37, Примеры: СЗ 5м/с, С 2м/с, СЗ 2м/с, В 1м/с, ЮВ 2м/с"
