"Параметр","Значение"
"Имя файла","samara_weather_200201-201202.csv"
"Количество строк","1510"
"Количество столбцов","9"
"Начальная дата","2008-01-10"
"Конечная дата","2012-02-9"
"Дата","Тип: object, Уникальных значений: 1510, Примеры: 2012-02-7, 2009-03-15, 2009-04-5, 2009-07-20, 2011-07-11"
"Температура (день)","Тип: int64, Уникальных значений: 65, Примеры: -8, -5, 19, -11, 28"
"Давление (день)","Тип: int64, Уникальных значений: 49, Примеры: 747, 756, 758, 758, 738"
"Облачность (день)","Тип: object, Уникальных значений: 4, Примеры: Пасмурно, Пасмурно, Ясно, Ясно"
"Ветер (день)","Тип: object, Уникальных значений: 47, Примеры: С 1м/с, ЮЗ 3м/с, СЗ 2м/с, СЗ 3м/с, СВ 1м/с"
"Температура (вечер)","Тип: float64, Уникальных значений: 62, Примеры: 24.0, 8.0, 30.0, -11.0, -5.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 50, Примеры: 755.0, 747.0, 746.0, 749.0, 755.0"
"Облачность (вечер)","Тип: object, Уникальных значений: 5, Примеры: Пасмурно, Пасмурно, Переменная облачность, Переменная облачность, Ясно"
"Ветер (вечер)","Тип: object, Уникальных значений: 47, Примеры: З 1м/с, ЮВ 2м/с, В 2м/с, СЗ 2м/с, З 1м/с"
